compound_id,split,cv_fold,half_life_min,class,binary_class,data_source
CPD-0001,train,4,73.1,Stable,0,Old
CPD-0002,train,2,120.0,Stable,0,Old
CPD-0003,external_test,,65.73,Stable,0,New
CPD-0004,train,1,51.83,Stable,0,Old
CPD-0005,train,3,120.0,Stable,0,New
CPD-0006,train,1,116.93,Stable,0,Old
CPD-0007,train,2,120.0,Stable,0,New
CPD-0008,train,0,120.0,Stable,0,Old
CPD-0009,external_test,,67.59,Stable,0,Old
CPD-0010,train,0,120.0,Stable,0,Old
CPD-0011,train,2,120.0,Stable,0,Old
CPD-0012,external_test,,111.06,Stable,0,New
CPD-0014,train,3,91.39,Stable,0,New
CPD-0016,train,4,56.1,Stable,0,Old
CPD-0017,train,1,15.6,Unstable,1,Old
CPD-0018,train,0,120.0,Stable,0,Old
CPD-0019,internal_test,,103.15,Stable,0,New
CPD-0020,train,0,53.63,Stable,0,New
CPD-0021,train,2,120.0,Stable,0,Old
CPD-0022,train,2,119.57,Stable,0,Old
CPD-0023,train,3,120.0,Stable,0,New
CPD-0024,train,4,12.33,Unstable,1,Old
CPD-0026,train,2,120.0,Stable,0,New
CPD-0027,train,0,120.0,Stable,0,Old
CPD-0028,external_test,,120.0,Stable,0,New
CPD-0029,train,0,120.0,Stable,0,New
CPD-0030,train,4,111.0,Stable,0,New
CPD-0031,train,1,119.96,Stable,0,Old
CPD-0032,train,3,120.0,Stable,0,New
CPD-0033,train,2,120.0,Stable,0,New
CPD-0034,external_test,,6.83,Unstable,1,New
CPD-0035,train,4,120.0,Stable,0,New
CPD-0036,train,1,120.0,Stable,0,New
CPD-0037,train,1,120.0,Stable,0,New
CPD-0038,train,1,120.0,Stable,0,New
CPD-0039,internal_test,,120.0,Stable,0,Old
CPD-0040,train,3,106.65,Stable,0,Old
CPD-0041,train,0,14.01,Unstable,1,Old
CPD-0042,train,2,41.38,Stable,0,New
CPD-0043,train,4,120.0,Stable,0,New
CPD-0044,internal_test,,120.0,Stable,0,Old
CPD-0045,train,2,105.1,Stable,0,New
CPD-0046,train,0,120.0,Stable,0,New
CPD-0047,train,3,110.96,Stable,0,Old
CPD-0048,train,0,12.69,Unstable,1,Old
CPD-0049,train,3,120.0,Stable,0,Old
CPD-0050,train,0,120.0,Stable,0,Old
CPD-0051,train,1,120.0,Stable,0,New
CPD-0053,train,0,111.35,Stable,0,New
CPD-0055,train,3,120.0,Stable,0,New
CPD-0056,internal_test,,51.62,Stable,0,New
CPD-0057,train,1,120.0,Stable,0,Old
CPD-0058,train,3,120.0,Stable,0,New
CPD-0059,train,0,117.75,Stable,0,New
CPD-0060,train,1,120.0,Stable,0,New
CPD-0061,train,3,120.0,Stable,0,New
CPD-0062,train,2,120.0,Stable,0,New
CPD-0063,train,4,120.0,Stable,0,New
CPD-0064,train,4,120.0,Stable,0,New
CPD-0065,train,4,100.82,Stable,0,Old
CPD-0066,train,2,120.0,Stable,0,New
CPD-0067,train,3,117.09,Stable,0,New
CPD-0068,train,2,72.67,Stable,0,Old
CPD-0069,internal_test,,120.0,Stable,0,New
CPD-0070,internal_test,,120.0,Stable,0,Old
CPD-0071,train,0,120.0,Stable,0,Old
CPD-0072,train,1,120.0,Stable,0,Old
CPD-0073,train,1,0.54,Unstable,1,New
CPD-0074,train,1,120.0,Stable,0,Old
CPD-0075,train,2,120.0,Stable,0,New
CPD-0077,train,1,92.78,Stable,0,Old
CPD-0078,train,2,120.0,Stable,0,New
CPD-0079,train,1,120.0,Stable,0,Old
CPD-0080,train,4,120.0,Stable,0,New
CPD-0081,internal_test,,120.0,Stable,0,Old
CPD-0083,internal_test,,120.0,Stable,0,New
CPD-0084,train,2,79.23,Stable,0,Old
CPD-0085,train,1,120.0,Stable,0,Old
CPD-0086,train,0,80.2,Stable,0,Old
CPD-0087,external_test,,111.9608507,Stable,0,New
CPD-0088,external_test,,120.0,Stable,0,New
CPD-0089,train,4,120.0,Stable,0,New
CPD-0090,train,4,120.0,Stable,0,New
CPD-0092,train,2,120.0,Stable,0,New
CPD-0093,train,4,120.0,Stable,0,Old
CPD-0094,train,4,82.6,Stable,0,Old
CPD-0095,train,4,47.51,Stable,0,Old
CPD-0096,train,3,120.0,Stable,0,New
CPD-0097,train,2,120.0,Stable,0,New
CPD-0098,internal_test,,120.0,Stable,0,New
CPD-0099,train,3,105.95,Stable,0,Old
CPD-0100,train,4,120.0,Stable,0,New
CPD-0101,train,2,120.0,Stable,0,Old
CPD-0102,train,3,14.72,Unstable,1,New
CPD-0103,train,3,120.0,Stable,0,New
CPD-0104,train,2,120.0,Stable,0,New
CPD-0105,train,0,78.68,Stable,0,Old
CPD-0106,train,2,13.74,Unstable,1,New
CPD-0107,internal_test,,120.0,Stable,0,New
CPD-0108,train,3,120.0,Stable,0,New
CPD-0109,train,4,120.0,Stable,0,New
CPD-0110,train,3,120.0,Stable,0,Old
CPD-0111,train,1,120.0,Stable,0,Old
CPD-0112,train,3,21.35,Unstable,1,Old
CPD-0113,external_test,,120.0,Stable,0,Old
CPD-0114,train,2,120.0,Stable,0,Old
CPD-0116,train,1,16.17,Unstable,1,New
CPD-0117,train,3,25.08,Unstable,1,Old
CPD-0118,internal_test,,120.0,Stable,0,Old
CPD-0119,train,1,120.0,Stable,0,New
CPD-0120,train,4,120.0,Stable,0,New
CPD-0121,internal_test,,120.0,Stable,0,New
CPD-0122,train,2,120.0,Stable,0,New
CPD-0124,train,1,120.0,Stable,0,New
CPD-0125,train,4,120.0,Stable,0,New
CPD-0127,external_test,,11.61,Unstable,1,Old
CPD-0128,external_test,,120.0,Stable,0,New
CPD-0129,train,3,120.0,Stable,0,Old
CPD-0130,train,4,9.69,Unstable,1,Old
CPD-0131,train,3,120.0,Stable,0,New
CPD-0132,train,0,120.0,Stable,0,Old
CPD-0133,train,1,25.1,Unstable,1,New
CPD-0134,train,4,10.87697943,Unstable,1,New
CPD-0135,external_test,,27.92,Unstable,1,New
CPD-0136,train,4,93.37,Stable,0,Old
CPD-0138,train,1,120.0,Stable,0,New
CPD-0140,internal_test,,103.67,Stable,0,New
CPD-0141,train,4,63.37,Stable,0,Old
CPD-0142,train,1,88.36,Stable,0,Old
CPD-0143,train,1,76.23,Stable,0,Old
CPD-0144,train,0,120.0,Stable,0,Old
CPD-0145,train,1,92.93,Stable,0,Old
CPD-0146,train,3,28.41966493,Unstable,1,New
CPD-0148,external_test,,114.74,Stable,0,New
CPD-0149,external_test,,64.0,Stable,0,New
CPD-0150,train,2,120.0,Stable,0,New
CPD-0151,external_test,,120.0,Stable,0,New
CPD-0152,train,1,120.0,Stable,0,Old
CPD-0153,train,4,115.5,Stable,0,Old
CPD-0154,train,4,34.76372335,Stable,0,New
CPD-0155,train,0,101.45,Stable,0,Old
CPD-0156,train,4,120.0,Stable,0,Old
CPD-0157,train,1,120.0,Stable,0,New
CPD-0158,train,4,120.0,Stable,0,New
CPD-0159,train,1,120.0,Stable,0,New
CPD-0160,train,3,120.0,Stable,0,New
CPD-0161,train,3,109.88,Stable,0,New
CPD-0162,internal_test,,120.0,Stable,0,Old
CPD-0163,train,2,92.96,Stable,0,New
